,,How much is the average asking price above or below the cap?,,,,,The average asking prices for different sized homes,,,,
Area,County,1 bed flat,2 bed house,2 bed flat,3 bed house,3 bed flat,1 bed flat average price,2 bed house average price,2 bed flat average price,3 bed house average price,3 bed flat average price
Bedfordshire,Bedfordshire,"-£109,655.00","-£14,462.00","-£73,476.00","£45,988.00","-£55,000.00","£140,345.00","£235,538.00","£176,524.00","£295,988.00","£195,000.00"
Arlesey,Bedfordshire,"-£80,000.00","-£27,500.00",,"£100,000.00",,"£170,000.00","£222,500.00",,"£350,000.00",
Bedford,Bedfordshire,"-£133,438.00","-£35,600.00","-£78,680.00","£12,171.00","-£42,001.00","£116,562.00","£214,400.00","£171,320.00","£262,171.00","£207,999.00"
Biggleswade,Bedfordshire,,"-£1,683.00","-£29,367.00","£34,374.00",,,"£248,317.00","£220,633.00","£284,374.00",
Dunstable,Bedfordshire,"-£112,785.00","-£33,751.00","-£79,857.00","£26,103.00","-£40,000.00","£137,215.00","£216,249.00","£170,143.00","£276,103.00","£210,000.00"
Henlow,Bedfordshire,,"£19,000.00",,"£42,995.00",,,"£269,000.00",,"£292,995.00",
Leighton Buzzard,Bedfordshire,"-£96,667.00","-£30,001.00","-£64,382.00","£69,312.00","-£100,000.00","£153,333.00","£219,999.00","£185,618.00","£319,312.00","£150,000.00"
Luton,Bedfordshire,"-£100,534.00","-£35,614.00","-£91,699.00","£22,930.00","-£60,000.00","£149,466.00","£214,386.00","£158,301.00","£272,930.00","£190,000.00"
Sandy,Bedfordshire,,"-£6,683.00",,"£40,268.00",,,"£243,317.00",,"£290,268.00",
Shefford,Bedfordshire,,,,"£25,000.00",,,,,"£275,000.00",
Buckinghamshire,Buckinghamshire,"-£78,702.00","£65,489.00","£40,265.00","£142,264.00","£632,891.00","£171,298.00","£315,489.00","£290,265.00","£392,264.00","£882,891.00"
Amersham,Buckinghamshire,"-£21,429.00","£209,564.00","£99,286.00","£263,329.00",,"£228,571.00","£459,564.00","£349,286.00","£513,329.00",
Aylesbury,Buckinghamshire,"-£117,323.00","£3,271.00","-£41,665.00","£67,176.00","-£2,500.00","£132,677.00","£253,271.00","£208,335.00","£317,176.00","£247,500.00"
Beaconsfield,Buckinghamshire,,"£262,000.00","£461,869.00","£395,990.00","£1,220,000.00",,"£512,000.00","£711,869.00","£645,990.00","£1,470,000.00"
Bourne End,Buckinghamshire,"£149,950.00","£253,317.00","£39,950.00","£331,089.00",,"£399,950.00","£503,317.00","£289,950.00","£581,089.00",
Buckingham,Buckinghamshire,"-£82,352.00","-£19,252.00","-£46,825.00","£79,166.00",,"£167,648.00","£230,748.00","£203,175.00","£329,166.00",
Chalfont St. Giles,Buckinghamshire,,"£349,995.00","£486,250.00","£653,750.00",,,"£599,995.00","£736,250.00","£903,750.00",
Chesham,Buckinghamshire,"-£32,762.00","£106,995.00","£8,750.00","£168,275.00",,"£217,238.00","£356,995.00","£258,750.00","£418,275.00",
Gerrards Cross,Buckinghamshire,"£113,317.00","£352,857.00","£408,626.00","£379,053.00","£937,500.00","£363,317.00","£602,857.00","£658,626.00","£629,053.00","£1,187,500.00"
Great Missenden,Buckinghamshire,"£125,000.00","£189,950.00","£121,667.00","£420,000.00",,"£375,000.00","£439,950.00","£371,667.00","£670,000.00",
High Wycombe,Buckinghamshire,"-£76,259.00","£39,759.00","-£8,333.00","£122,585.00","-£70,000.00","£173,741.00","£289,759.00","£241,667.00","£372,585.00","£180,000.00"
Iver,Buckinghamshire,"-£52,525.00","£208,980.00","£58,550.00","£399,988.00",,"£197,475.00","£458,980.00","£308,550.00","£649,988.00",
Marlow,Buckinghamshire,"£43,333.00","£216,840.00","£232,000.00","£392,590.00",,"£293,333.00","£466,840.00","£482,000.00","£642,590.00",
Milton Keynes,Buckinghamshire,"-£97,897.00","-£10,589.00","-£53,846.00","£31,187.00","-£53,754.00","£152,103.00","£239,411.00","£196,154.00","£281,187.00","£196,246.00"
Newport Pagnell,Buckinghamshire,"-£103,333.00","-£36,136.00","-£60,000.00","£46,084.00",,"£146,667.00","£213,864.00","£190,000.00","£296,084.00",
Olney,Buckinghamshire,"-£46,667.00","-£11,250.00","-£20,002.00","£25,000.00",,"£203,333.00","£238,750.00","£229,998.00","£275,000.00",
Princes Risborough,Buckinghamshire,"£25,000.00",,"£33,750.00","£211,414.00",,"£275,000.00",,"£283,750.00","£461,414.00",
Cambridgeshire,Cambridgeshire,"-£102,534.00","-£36,798.00","-£4,336.00","£45,096.00","£29,958.00","£147,466.00","£213,202.00","£245,664.00","£295,096.00","£279,958.00"
Cambridge,Cambridgeshire,"£8,475.00","£196,037.00","£152,993.00","£239,967.00","£500,000.00","£258,475.00","£446,037.00","£402,993.00","£489,967.00","£750,000.00"
Chatteris,Cambridgeshire,"-£185,005.00","-£79,000.00","-£117,500.00","-£34,286.00",,"£64,995.00","£171,000.00","£132,500.00","£215,714.00",
Ely,Cambridgeshire,"-£65,000.00","-£20,000.00","-£75,000.00","£37,000.00",,"£185,000.00","£230,000.00","£175,000.00","£287,000.00",
Huntingdon,Cambridgeshire,"-£107,436.00","-£69,700.00","-£83,938.00","-£4,910.00",,"£142,564.00","£180,300.00","£166,062.00","£245,090.00",
March,Cambridgeshire,"-£169,002.00","-£93,450.00","-£157,701.00","-£40,229.00",,"£80,998.00","£156,550.00","£92,299.00","£209,771.00",
St. Neots,Cambridgeshire,"-£94,002.00","-£25,001.00","-£47,574.00","£37,577.00","£165,000.00","£155,998.00","£224,999.00","£202,426.00","£287,577.00","£415,000.00"
Wisbech,Cambridgeshire,"-£165,393.00","-£131,949.00","-£156,403.00","-£67,677.00","-£125,167.00","£84,607.00","£118,051.00","£93,597.00","£182,323.00","£124,833.00"
Hertfordshire,Hertfordshire,£31.00,"£152,599.00","£149,370.00","£282,539.00","£612,986.00","£250,031.00","£402,599.00","£399,370.00","£532,539.00","£862,986.00"
Abbots Langley,Hertfordshire,"-£50,012.00","£141,250.00","£137,500.00","£204,900.00",,"£199,988.00","£391,250.00","£387,500.00","£454,900.00",
Baldock,Hertfordshire,,,,"£105,000.00",,,,,"£355,000.00",
Berkhamsted,Hertfordshire,"£158,650.00","£184,671.00","£282,658.00","£401,250.00","£345,000.00","£408,650.00","£434,671.00","£532,658.00","£651,250.00","£595,000.00"
Bishop's Stortford,Hertfordshire,"£7,791.00","£56,818.00","£181,190.00","£186,250.00","£82,475.00","£257,791.00","£306,818.00","£431,190.00","£436,250.00","£332,475.00"
Borehamwood,Hertfordshire,"-£22,500.00","£277,492.00","£71,375.00","£258,011.00","£82,475.00","£227,500.00","£527,492.00","£321,375.00","£508,011.00","£332,475.00"
Broxbourne,Hertfordshire,"-£97,502.00","-£40,000.00","-£11,669.00","£248,332.00",,"£152,498.00","£210,000.00","£238,331.00","£498,332.00",
Buntingford,Hertfordshire,,"£75,332.00","£5,000.00","£139,090.00",,,"£325,332.00","£255,000.00","£389,090.00",
Bushey,Hertfordshire,"£20,000.00","£263,317.00","£287,885.00","£382,938.00","£664,285.00","£270,000.00","£513,317.00","£537,885.00","£632,938.00","£914,285.00"
Harpenden,Hertfordshire,"£35,000.00","£297,500.00","£116,576.00","£354,211.00","£1,100,000.00","£285,000.00","£547,500.00","£366,576.00","£604,211.00","£1,350,000.00"
Hatfield,Hertfordshire,"-£75,005.00",,"£27,143.00","£126,250.00","£14,333.00","£174,995.00",,"£277,143.00","£376,250.00","£264,333.00"
Hemel Hempstead,Hertfordshire,"-£52,035.00","£84,989.00","£25,190.00","£145,262.00","£15,980.00","£197,965.00","£334,989.00","£275,190.00","£395,262.00","£265,980.00"
Hertford,Hertfordshire,"£8,777.00","£158,500.00","£128,635.00","£279,987.00",,"£258,777.00","£408,500.00","£378,635.00","£529,987.00",
Hitchin,Hertfordshire,"-£66,117.00","£101,249.00","£40,195.00","£120,650.00",,"£183,883.00","£351,249.00","£290,195.00","£370,650.00",
Hoddesdon,Hertfordshire,"-£55,843.00","£83,333.00","-£24,000.00","£127,892.00",,"£194,157.00","£333,333.00","£226,000.00","£377,892.00",
Kings Langley,Hertfordshire,"-£59,500.00","£143,322.00","£50,000.00","£331,278.00","£182,475.00","£190,500.00","£393,322.00","£300,000.00","£581,278.00","£432,475.00"
Knebworth,Hertfordshire,"£79,950.00","£50,000.00","£174,950.00","£338,333.00",,"£329,950.00","£300,000.00","£424,950.00","£588,333.00",
